400X5

475.183	641	737857	28358	15
594.335	748	2098669	56951	21
448.515	701	2269911	23240	19
231.792	679	3123074	5715	2
76.849	739	2775248	3101	21
1.041.122	651	2510205	3570	18
201.385	726	1226754	7302	18
20.171.074	539	1028562	40024	19
454.391	576	619748	8852	13
6.684.705	592	1083298	16112	18
302.913	753	6143329	14547	26
731.753	633	883832	14667	15
4.382.975	599	8674183	8455	22
523.749	752	3093529	118939	26
4.018.162	633	862088	58119	15
625.003	8	4863409	307953	34
23734	586	678616	14661	18
604.251	656	1349001	5567	18
23.692.223	639	1138578	62021	17
1.165.622	685	1338257	161690	19
902.793	671	2555402	11834	2
1609	605	779064	15191	17
166.735	675	954612	11836	14
459.978	643	1593851	4931	18
759.715	584	534461	18902	15
296.189	668	1613521	4677	17
138286	734	4030152	77276	32
49.027	604	907543	3221	18
223.671	592	709478	10814	13
68.556	623	743038	5912	16
337.956	708	2384063	14008	2
105.271	581	842173	3066	16
1.555.803	741	2445115	22914	21
243.709	594	841453	7936	19
351.892	566	610212	23378	21
324227	701	1606682	141934	18
2896	555	740264	15357	18
299.222	564	894549	44666	18
2.841.686	658	1978115	20855	23
774.639	661	865341	3363	16
1.391.981	751	2087975	850198	28
773.338	73	2900891	176060	21
15145	545	668817	7120	16
106.913	685	2390001	7634	19
206.414	605	56727	11399	17
32085	728	2147911	16991	18
141.773	689	1744605	10783	18
243207	698	2065404	9606	21
184.304	578	733889	13536	17
296.177	599	56848	10437	17
700.599	71	1815098	16578	22
221.541	749	1214254	9227	2
800.807	714	3385421	17627	19
1.895.883	635	2705758	18257	18
428571	655	2841965	3682	18
17846	747	3457238	30846	22
2.197.413	589	1355869	11350	18
908.888	657	1180233	74719	16
2.951.567	664	3963667	20562	23
101.822	645	19930	13895	14
169.237	635	2154919	4100	17
404.396	778	4055207	41022	23
57.944	717	1744166	1695	23
671.889	636	2242679	16348	22
279.578	76	3965361	36931	28
135.454	64	115865	2437	15
292.985	618	1118959	53083	17
330.089	72	168295	5377	17
1.486.584	537	444663	28635	13
598.473	659	2258311	7767	17
127.405	784	4095728	42801	23
19679	71	1679526	2690	25
1.764.612	649	81536	167619	19
144.381	77	3168753	88931	24
113.913	742	383498	2946	24
236.196	689	1734304	6294	2
83.047	74	1804713	7807	15
2.091.774	683	2169001	6795	2
1.024.186	557	824482	52156	17
2.601.603	589	815832	7460	15
1.077.073	681	1048743	23119	17
173.866	688	1483467	16766	16
114.705	696	120736	4147	16
1.196.999	768	3688999	135538	24
136.776	661	875302	6232	14
306.264	551	757326	13208	17
591.438	699	1648419	8470	18
285.125	718	1077377	8772	16
5.145.361	586	924995	61709	17
6.446.894	548	620483	18782	15
25.704	618	135576	44189	14
239821	716	2323763	3576	22
202.977	683	2064497	2970	24
71.348	714	938285	2395	21
160.565	762	2634996	37564	22
315.266	744	181662	9934	19
83887	572	1193708	34043	18
63.421	722	1937267	1691	19
934.272	531	613064	30108	19
135.496	605	777966	13689	15
68578	532	565223	28070	16
11.991.085	562	1257344	18469	19
925.722	606	1062467	55207	17
588.534	667	1698791	10352	16
144.408	719	1891291	47521	21
81.122	701	2457339	2391	18
2.010.316	528	574429	17700	19
191.094	785	1467333	45904	25
148.582	791	2359193	2851	27
504.171	681	229991	12256	21
437.556	706	4400626	19146	3
251.058	718	1892984	10904	18
828.038	744	2580267	78999	21
185.539	71	3515233	26589	19
422.198	759	3470129	24497	22
217.259	662	173977	2898	19
151.594	753	150491	5767	22
10.206.949	744	6918436	117477	28
2.678.253	752	4777111	31687	24
180.599	703	2423165	4457	21
268.396	768	2699024	24632	21
689.794	731	1839496	57097	18
282.071	745	1451652	2900	16
322.843	725	4229583	79402	19
157.084	774	6482804	3863	33
161.671	729	1588491	7098	16
186.638	795	7007341	7545	24
268.417	687	2534831	5961	19
295.765	595	959446	30155	16
710.328	699	1613723	121266	18
268.726	602	1149792	3327	13
191.518	67	720687	15221	18
219.866	609	695859	9482	16
818.799	733	26838139	28289	55
292.036	606	707809	21749	16
799.125	653	1220966	3571	18
108.617	775	3240768	7211	25
301.755	796	3115308	104457	24
2.185.013	579	70338	52540	18
2.512.594	659	1784642	38508	2
180.807	747	2931882	5965	21
2.086.189	666	3951348	110516	25
271.007	555	65848	5746	14
126.731	728	1694439	6689	18
500.073	626	753115	6739	13
133.291	752	2160236	4597	2
668.478	611	1410793	7971	17
218.072	657	1554458	4604	2
698.871	695	186453	8833	18
336912	572	612535	41342	11
627.986	771	2346745	65758	2
182396	719	2046947	25538	2
950.474	519	568027	26990	18
135.264	694	2450339	1573	22
225104	709	4326175	23705	26
59.542	718	961393	4472	26
307.676	728	277769	8494	22
17857	634	792804	8169	15
310.909	73	3493022	8277	22
24477	769	1635119	15321	2
712.206	67	2663188	1843	19
895.308	587	994971	2574	14
2.578.497	561	728595	35063	18
1.511.857	536	526012	25533	18
153.235	751	1578024	2016	2
1.153.111	682	139826	19762	18
147.797	736	2172408	1827	22
253.635	629	2294431	3585	2
202.276	606	58777	15935	14
480.775	697	173958	4818	16
933.957	691	5504879	5050	28
235.517	74	3867349	12746	22
926.767	672	2324215	13640	21
221	696	1629754	5025	17
1.651.649	561	560663	58605	12
10.274.677	527	996924	13428	13
3.074.786	605	728098	25773	16
407.452	724	2135999	113300	17
820.524	609	664035	12531	14
659.138	582	812342	20800	18
181.102	611	1029896	20489	19
421.033	648	99516	34332	18
