5165X5

147.734	708	2183559	8207	18
881.064	689	2352214	7059	15
1.045.127	689	1599973	18775	17
1.817.065	698	1449542	23611	17
1.610.404	628	796005	153380	18
18008	628	565218	11605	11
538.677	603	598215	9199	2
1.604.923	575	613926	20189	17
228.717	687	1884036	7768	19
235.831	694	2394129	2604	24
614.131	622	939707	7231	14
953.058	696	320693	17847	21
470.551	654	132104	13733	15
126.193	679	1343804	99364	19
1.895.212	665	1468794	2571	15
101.886	63	78924	4065	15
5.806.439	672	1848399	111339	19
181.475	582	744047	15727	19
4.343.805	506	1189264	54096	2
155.169	606	709362	16543	18
842.559	601	909718	62199	19
608.466	679	976451	11333	15
1.279.586	528	599702	6966	18
1.547.956	687	5113863	4759	25
2.265.349	595	6560	53572	7
852.727	628	1069266	5269	29
1.807.948	604	1528456	14366	19
1.565.997	686	2394825	22076	22
1.303.442	661	1530796	58183	17
815.422	61	805916	9997	16
411.987	79	2590386	35139	2
115.353	702	1179726	2564	14
211.055	73	2030432	3609	23
1.349.335	667	2636552	6254	34
632.139	546	934864	17349	18
377.696	657	993316	37017	16
57618	585	668512	11211	18
941.188	667	1227512	32361	18
371.338	529	571057	6486	14
1.490.594	588	753509	19411	15
8.372.795	489	872646	38144	21
200.581	592	814478	24644	14
112.425	599	561741	5062	18
207.554	725	2314489	10581	21
129.915	741	2410845	5437	19
7.113.955	564	144464	26682	19
1.320.258	576	803474	14370	15
7.510.635	729	3389929	24501	24
236.608	572	690337	10258	14
468.225	549	568126	20467	16
97.041	639	901645	17119	16
7.809.211	67	6080864	14992	25
492.212	675	4321351	2058	26
443.267	5	484765	12457	17
473.729	652	1142709	11893	24
131427	698	3832292	7154	21
2.029.416	671	3664591	5613	16
743.014	55	628094	17508	21
452.858	722	2277001	1967	19
50.684	616	756983	3260	15
533.336	553	618119	36371	16
291.902	75	689555	3841	25
474.554	715	2143903	35508	21
232.091	663	1122862	4440	14
885.989	526	670034	43087	18
142.961	781	1709037	8104	22
139.832	713	1364006	6445	21
60.126	745	2396214	18509	19
404.463	757	2035702	6009	23
3.612	854	3927181	3268	22
820.079	645	1023359	19416	18
7614	745	3047315	2387	27
188.385	686	824815	195810	15
327.358	723	2235508	6298	19
1.256.613	601	1254579	13576	14
536.114	694	250518	17085	21
192.261	66	1716506	9161	18
966.708	745	5620638	36880	25
454.448	678	1605868	10085	19
344.708	597	721382	5562	14
235.394	657	1776999	6460	14
1.348.913	684	1791879	25711	17
167.877	583	1091927	4725	18
2.434.423	569	623651	17194	12
64968	668	1222709	6209	18
323.239	753	3224057	7358	21
320.563	582	782572	28565	18
122.255	576	1251908	20689	2
161.356	649	109429	2752	18
535.807	531	600193	7526	17
216.452	599	783167	14517	15
9698	595	639375	14464	19
707.558	683	1771535	155979	2
1596	712	1520309	5754	17
5801	673	2526558	3046	2
1.457.916	573	498955	21673	33
138.605	6	523108	11459	13
305.394	578	680893	5499	15
4.399.681	711	3210151	5188	24
1.480.686	608	1009101	23376	18
1.942.121	513	809949	26387	14
316.736	672	1368032	6736	21
772	721	1342833	32146	22
243.732	585	657039	4838	19
7.803.954	74	2318237	78003	21
172.688	695	2238499	4037	23
51025	726	227481	35866	18
23.645.452	564	938558	55246	19
381.205	606	814423	13827	14
847.893	682	2795214	26770	21
850.446	761	27019	79707	24
615.791	71	1975095	15082	18
118.915	741	1748418	4135	2
130.815	675	1222954	6775	16
732.768	668	1949491	9960	18
220.248	548	928278	2501	15
182.663	582	3743398	19579	21
1.579.751	663	1304555	5527	18
272.133	604	692246	38267	16
245.236	563	943699	5985	2
4.013.243	636	1617532	7273	16
72.954.798	642	1901417	33195	3
2.294.426	642	111304	41794	17
128.038	624	701666	4854	16
265.368	74	5800145	2079	25
194.744	699	1110584	115364	22
